YEAR,DATE,PLANE,DEP,DES,DYLAND,NILAND,APPR,HOURS,NIGHT,IFR,GAD,CFI,STDNT,DUAL,PIC,SIC,SFTY,,,,,
1982,1227,N1629E,TKI,TKI,0,1,0,16,16,0,0,0,0,0,16,0,0,,,,,
1982,1228,N1629E,TKI,1M1,1,0,0,22,0,0,0,0,0,0,22,0,0,,,,,
1982,1228,N1629E,1M1,1M1,0,1,0,8,8,0,0,0,0,0,8,0,0,,,,,
1982,1229,N1629E,1M1,PAH,1,0,0,23,0,0,0,0,0,0,23,0,0,,,,,
1982,1229,N1629E,PAH,OWB,1,0,0,11,0,0,0,0,0,0,11,0,0,,,,,
1982,1229,N1629E,OWB,SDF,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1982,1230,N1629E,SDF,I19,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1983,301,N5260B,I19,I19,1,0,0,14,0,0,0,0,0,0,14,0,0,,,,,
1983,310,N9292H,MGY,MGY,0,1,0,9,9,0,2,0,0,9,9,0,0,,,,,
1983,315,N25257,I19,CRW,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1983,315,N25257,CRW,I19,1,0,0,19,0,0,0,0,0,0,19,0,0,,,,,
1983,324,N9292H,MGY,MGY,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1983,325,N9292H,MGY,CRW,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1983,325,N9292H,CRW,CRW,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1983,326,N9292H,CRW,?GBR,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1983,326,N9292H,?GBR,?GBR,1,0,0,2,0,0,0,0,0,0,2,0,0,,,,,
1983,326,N9292H,?GBR,W45,1,0,0,14,0,0,0,0,0,0,14,0,0,,,,,
1983,326,N9292H,W45,CRW,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1983,326,N9292H,CRW,MGY,1,0,0,17,0,0,0,0,0,0,17,0,0,,,,,
1983,331,N5491H,MGY,HOC,1,0,0,8,0,0,0,0,0,8,8,0,0,,,,,
1983,331,N5491H,HOC,22I,1,0,0,7,0,0,0,0,0,7,7,0,0,,,,,
1983,331,N5491H,22I,MGY,0,1,0,10,10,0,5,0,0,10,10,0,0,,,,,
1983,416,N9292H,MGY,MGY,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1983,418,N5491H,MGY,MGY,1,0,0,14,0,0,0,0,0,0,14,0,0,,,,,
1983,420,N5491H,MGY,MGY,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1983,422,N9292H,MGY,MGY,1,0,0,13,0,0,10,0,0,13,13,0,0,,,,,
1983,427,N5491H,MGY,I69,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1983,427,N5491H,I69,MGY,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1983,504,N5491H,MGY,MGY,1,0,0,14,0,0,0,0,0,0,14,0,0,,,,,
1983,506,N64844,MGY,MGY,1,0,0,19,0,0,0,0,0,0,19,0,0,,,,,
1983,509,N5491H,MGY,MGY,1,0,0,16,0,0,14,0,0,16,16,0,0,,,,,
1983,511,N5491H,MGY,I32,1,0,0,11,0,0,0,0,0,0,11,0,0,,,,,
1983,511,N5491H,I32,CVG,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,511,N5491H,CVG,CVG,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1983,511,N5491H,CVG,MGY,1,0,0,7,0,0,0,0,0,0,7,0,0,,,,,
1983,511,N5491H,MGY,MGY,1,0,0,16,0,0,15,0,0,16,16,0,0,,,,,
1983,513,N9292H,MGY,DAY,1,0,0,3,0,0,0,0,0,0,3,0,0,,,,,
1983,513,N9292H,DAY,MGY,1,0,0,7,0,0,0,0,0,0,7,0,0,,,,,
1983,516,N9292H,MGY,MGY,0,1,0,10,10,0,9,0,0,10,10,0,0,,,,,
1983,517,N9292H,MGY,MGY,1,0,0,13,0,0,0,0,0,0,13,0,0,,,,,
1983,517,N9292H,MGY,MGY,0,1,0,14,14,0,0,0,0,0,14,0,0,,,,,
1983,525,N9292H,MGY,IOB,0,1,0,14,14,0,0,0,0,0,14,0,0,,,,,
1983,525,N9292H,IOB,MGY,1,0,0,11,0,0,0,0,0,0,11,0,0,,,,,
1983,525,N5491H,MGY,MGY,0,1,0,18,11,0,16,0,0,18,18,0,0,,,,,
1983,526,N5491H,MGY,MGY,0,1,0,20,3,0,19,0,0,20,20,0,0,,,,,
1983,527,N5491H,MGY,CMH,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1983,527,N5491H,CMH,MGY,1,0,0,11,0,0,0,0,0,0,11,0,0,,,,,
1983,528,N9292H,MGY,IOB,1,0,0,13,0,0,0,0,0,0,13,0,0,,,,,
1983,528,N9292H,IOB,BKW,1,0,0,19,0,0,0,0,0,0,19,0,0,,,,,
1983,530,N9292H,BKW,IOB,1,0,0,24,0,0,0,0,0,0,24,0,0,,,,,
1983,530,N9292H,IOB,MGY,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1983,601,N5491H,MGY,MGY,0,1,0,15,15,0,13,0,0,15,15,0,0,,,,,
1983,602,N5491H,MGY,MGY,0,1,0,18,5,0,17,0,0,18,18,0,0,,,,,
1983,604,N9292H,MGY,MGY,1,0,0,15,0,0,14,0,0,15,0,0,0,,,,,
1983,605,N9292H,MGY,MGY,1,0,0,21,0,0,20,0,0,21,0,0,0,,,,,
1983,606,N5491H,MGY,MGY,0,1,0,18,5,0,17,0,0,18,0,0,0,,,,,
1983,608,N5491H,MGY,IND,1,0,0,16,0,0,0,0,0,0,16,0,0,,,,,
1983,608,N5491H,IND,MGY,1,0,0,13,0,0,0,0,0,0,13,0,0,,,,,
1983,608,N9292H,MGY,MGY,1,0,0,8,0,0,7,0,0,8,8,0,0,,,,,
1983,614,N5491H,MGY,GLW,1,0,0,22,0,0,0,0,0,0,22,0,0,,,,,
1983,614,N5491H,GLW,2I3,1,0,0,6,0,0,0,0,0,0,6,0,0,,,,,
1983,614,N5491H,2I3,MGY,1,0,0,18,0,0,0,0,0,0,18,0,0,,,,,
1983,620,N9292H,CMH,MGY,1,0,0,8,0,0,7,0,0,0,8,0,0,,,,,
1983,621,N5491H,MGY,CVG,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,621,N5491H,CVG,CVG,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,621,N5491H,CVG,MGY,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1983,623,N9292H,MGY,MGY,1,0,0,19,0,0,18,0,0,0,19,0,0,,,,,
1983,701,N5491H,MGY,MWO,1,0,0,2,0,0,0,0,0,0,2,0,0,,,,,
1983,701,N5491H,MWO,SDF,1,0,0,19,0,0,18,0,0,19,0,0,0,,,,,
1983,701,N5491H,SDF,IND,0,1,0,17,12,0,16,0,0,17,0,0,0,,,,,
1983,701,N5491H,IND,MWO,0,1,0,11,11,0,10,0,0,11,0,0,0,,,,,
1983,702,N5491H,MWO,MGY,1,0,0,3,0,0,0,0,0,0,3,0,0,,,,,
1983,705,N5491H,MGY,CMH,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1983,705,N5491H,CMH,MGY,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1983,707,N9292H,MGY,MGY,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1983,708,N5491H,MGY,CRW,1,0,0,16,0,0,0,0,0,0,16,0,0,,,,,
1983,708,N5491H,CRW,I69,1,0,0,15,0,0,0,0,0,0,15,0,0,,,,,
1983,708,N5491H,I69,MGY,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1983,708,N5491H,MGY,MGY,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1983,708,N9292H,MGY,CVG,1,0,0,7,0,0,0,0,0,0,7,0,0,,,,,
1983,709,N9292H,CVG,LOU,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,709,N9292H,LOU,MWO,0,1,0,16,16,0,0,0,0,0,16,0,0,,,,,
1983,711,N9292H,MGY,MGY,1,0,0,19,0,0,18,0,0,0,19,0,0,,,,,
1983,717,N5491H,MGY,MGY,1,0,0,28,0,0,26,0,0,0,28,0,0,,,,,
1983,718,N5491H,1D2,MGY,1,0,0,20,0,0,0,0,0,0,20,0,0,,,,,
1983,718,N5491H,MGY,TZR,1,0,0,12,0,0,10,0,0,12,0,0,0,,,,,
1983,718,N5491H,TZR,CMH,1,0,0,6,0,0,5,0,0,6,0,0,0,,,,,
1983,718,N5491H,CMH,MGY,1,0,0,10,0,2,7,0,0,10,0,0,0,,,,,
1983,722,N4745R,MGY,MGY,0,1,0,25,1,0,0,0,0,25,0,0,0,,,,,
1983,727,N5491H,MGY,MGY,1,0,0,10,0,0,0,0,0,0,10,0,0,,,,,
1983,801,N9292H,MGY,OSU,1,0,0,8,0,0,0,0,0,0,8,0,0,,,,,
1983,801,N9292H,OSU,UYF,0,1,0,3,3,0,0,0,0,0,3,0,0,,,,,
1983,801,N9292H,UYF,MGY,0,1,0,6,6,0,0,0,0,0,6,0,0,,,,,
1983,806,N9292H,MGY,CMH,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1983,806,N9292H,CMH,CMH,1,0,0,16,0,0,0,0,0,0,16,0,0,,,,,
1983,806,N9292H,CMH,MGY,0,1,0,9,9,0,0,0,0,0,9,0,0,,,,,
1983,807,N9292H,MGY,CRW,1,0,0,19,0,0,0,0,0,0,19,0,0,,,,,
1983,809,N9292H,CRW,MGY,1,0,0,23,0,0,0,0,0,0,23,0,0,,,,,
1983,812,N64844,MGY,I73,1,0,0,3,0,0,0,0,0,0,3,0,0,,,,,
1983,812,N9292H,MGY,DAY,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1983,812,N9292H,DAY,MGY,1,0,0,4,0,0,0,0,0,0,4,0,0,,,,,
1983,812,N9292H,MGY,MGY,1,0,0,18,0,0,17,0,0,18,18,0,0,,,,,
1983,813,N4745R,MGY,19I,1,0,0,13,0,0,8,0,0,13,0,0,0,,,,,
1983,813,N4745R,19I,MGY,1,0,0,12,0,0,0,0,0,12,0,0,0,,,,,
1983,814,N5491H,MGY,MGY,1,0,0,22,0,0,21,0,0,22,22,0,0,,,,,
1983,815,N9292H,MGY,LUK,1,0,0,8,0,0,7,0,0,8,0,0,0,,,,,
1983,815,N9292H,LUK,MGY,1,0,0,10,0,0,9,0,0,10,0,0,0,,,,,
1983,819,N4745R,MGY,LEX,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1983,819,N4745R,LEX,AVL,1,0,0,20,0,0,0,0,0,0,20,0,0,,,,,
1983,819,N4745R,AVL,MGY,1,0,0,30,0,0,0,0,0,0,30,0,0,,,,,
1983,825,N9292H,MGY,MGY,1,0,0,17,0,0,16,0,0,17,0,0,0,,,,,
1983,903,N9292H,MGY,MGY,1,0,0,9,0,0,0,0,0,0,9,0,0,,,,,
1983,906,N9292H,MGY,I32,1,0,0,13,0,0,0,0,0,0,13,0,0,,,,,
1983,906,N9292H,I32,MGY,1,0,0,12,0,0,0,0,0,0,12,0,0,,,,,
1983,908,N5491H,MGY,MGY,1,0,0,13,0,0,12,0,0,0,13,0,0,,,,,
1983,913,N5491H,MGY,I69,1,0,0,5,0,0,0,0,0,0,5,0,0,,,,,
1983,913,N5491H,I69,MGY,1,0,0,8,0,1,0,0,0,0,8,0,0,,,,,
1983,915,N4745R,MGY,I32,1,0,0,11,0,0,0,0,0,0,11,0,0,,,,,
